200	3	-	3	-	3	-	3	-	3	-	3	-	3	-	51	0	-	-	0,4	0,4	-
400	7	-	7	-	7	-	7	-	7	-	7	-	7	-	50	0	-	-	0,8	0,8	-
600	11	-	11	-	11	-	11	-	11	-	11	-	11	-	48	0	-	-	1,2	1,2	-
800	15	-	15	-	15	-	15	-	15	-	15	-	15	-	47	0	-	-	1,7	1,7	-
1000	19	-	19	-	19	-	19	-	19	-	19	-	19	-	46	0	-	-	2,1	2,1	-
1200	24	-	24	-	23	-	23	-	23	-	23	-	23	-	45	1	-	-	2,6	2,6	-
1400	28	-	28	-	28	-	28	-	28	-	27	-	27	-	44	1	-	-	3	3	-
1600	33	-	33	-	32	-	32	-	32	-	32	-	32	-	42	1	-	-	3,5	3,5	-
1800	38	-	38	-	37	-	37	-	37	-	36	-	36	-	41	1	-	-	4	4	-
2000	43	-	43	-	42	-	42	-	41	-	41	-	41	-	40	1	-	-	4,5	4,5	-
2200	48	-	48	-	47	-	47	-	46	-	46	-	46	-	38	1	-	-	5	5	-
2400	54	-	53	-	52	-	52	-	51	-	51	-	51	-	37	1	-	-	5,5	5,5	-
2600	59	-	59	-	58	-	57	-	57	-	56	-	56	-	36	2	-	-	6,1	6,1	-
2800	65	-	64	-	64	-	63	-	62	-	61	-	61	-	35	2	-	-	6,7	6,7	-
3000	71	-	70	-	69	-	68	-	68	-	67	-	67	-	34	2	-	-	7,2	7,2	-
3200	78	-	76	-	75	-	74	-	73	-	72	-	72	-	33	2	-	-	7,8	7,8	-
3400	84	-	83	-	81	-	80	-	79	-	78	-	78	-	32	2	-	-	8,4	8,4	-
3600	91	-	89	-	88	-	86	-	85	-	84	-	84	-	31	2	-	-	9	9	-
3800	98	-	96	-	94	-	93	-	91	-	90	-	90	-	30	3	-	-	9,6	9,6	-
4000	105	-	103	-	101	-	99	-	98	-	96	-	96	-	29	3	-	-	10	10	-
4200	112	-	110	-	108	-	106	-	104	-	102	-	102	-	28	3	-	-	11	11	-
4400	120	-	118	-	115	-	113	-	111	-	109	-	109	-	28	3	-	-	12	12	-
4600	128	-	125	-	123	-	120	-	118	-	116	-	116	-	27	4	-	-	12	12	-
4800	136	-	133	-	130	-	128	-	125	-	123	-	123	-	26	4	-	-	13	13	-
5000	144	-	111	-	138	-	135	-	133	-	130	-	130	-	25	4	-	-	14	14	-
5200	153	-	150	-	146	-	143	-	140	-	137	-	137	-	24	4	-	-	14	14	-
5400	161	-	158	-	155	-	151	-	148	-	145	-	145	-	24	5	-	-	15	15	-
5600	170	-	167	-	163	-	159	-	156	-	153	-	153	-	23	5	-	-	16	16	-
5800	179	-	175	-	172	-	168	-	164	-	161	-	161	-	23	5	-	-	16	16	-
6000	188	-	184	-	180	-	176	-	172	-	169	-	169	-	23	6	-	-	17	17	-
6200	198	-	193	-	189	-	185	-	181	-	177	-	177	-	22	6	-	-	18	18	-
6400	207	-	202	-	198	-	194	-	190	-	185	-	185	-	22	7	-	-	18	18	-
6600	217	-	212	-	208	-	203	-	199	-	194	-	194	-	22	7	-	-	19	19	-
6800	227	-	222	-	217	-	212	-	208	-	203	-	203	-	21	7	-	-	20	20	-
7000	237	-	232	-	227	-	222	-	217	-	212	-	212	-	21	7	-	-	21	21	-
7200	247	-	242	-	236	-	231	-	226	-	221	-	221	-	20	8	-	-	22	22	-
7400	257	-	252	-	246	-	241	-	235	-	230	-	230	-	20	8	-	-	22	22	-
7600	268	-	262	-	256	-	251	-	245	-	239	-	239	-	20	8	-	-	23	23	-
7800	279	-	273	-	267	-	261	-	254	-	248	-	248	-	19	9	-	-	24	24	-
