L	0	14200	200	14200	200	17600	17600	17600	17600
1	0	11400	200	11400	200	14200	16200	14200	16200
2	0	9200	200	9200	200	11400	13400	11400	13400
3	0	8000	200	8000	200	9200	11200	9200	11200
4	0	6800	200	6800	200	8000	10000	8000	10000
5	0	4800	200	4800	200	6800	8800	6800	8800
6	0	200	200	200	200	4800	6800	4800	6800
L	500	14400	200	14400	200	18000	18000	18000	18000
1	500	11800	200	11800	200	14400	16400	14400	16400
2	500	9400	200	9400	200	11800	13800	11800	13800
3	500	8200	200	8200	200	9400	11400	9400	11400
4	500	7000	200	7000	200	8200	10200	8200	10200
5	500	4800	200	4800	200	7000	9000	7000	9000
6	500	200	200	200	200	4800	6800	4800	6800
L	1000	14800	200	14800	200	18800	18800	18800	18800
1	1000	12000	200	12000	200	14800	16800	14800	16800
2	1000	9600	200	9600	200	12000	14000	12000	14000
3	1000	8400	200	8400	200	9600	11600	9600	11600
4	1000	7000	200	7000	200	8400	10400	8400	10400
5	1000	5000	200	5000	200	7000	9000	7000	9000
6	1000	200	200	200	200	5000	7000	5000	7000
L	1500	15200	200	15200	200	20200	20200	20200	20200
1	1500	12000	200	12000	200	15200	17200	15200	17200
2	1500	9600	200	9600	200	12000	14000	12000	14000
3	1500	8400	200	8400	200	9600	11600	9600	11600
4	1500	7000	200	7000	200	8400	10400	8400	10400
5	1500	5000	200	5000	200	7000	9000	7000	9000
6	1500	200	200	200	200	5000	7000	5000	7000
L	2000	15200	200	15200	200	20200	20200	20200	20200
1	2000	12000	200	12000	200	15200	17200	15200	17200
2	2000	9600	200	9600	200	12000	14000	12000	14000
3	2000	8400	200	8400	200	9600	11600	9600	11600
4	2000	7000	200	7000	200	8400	10400	8400	10400
5	2000	5000	200	5000	200	7000	9000	7000	9000
6	2000	200	200	200	200	5000	7000	5000	7000
L	2500	15200	200	15200	200	20200	20200	20200	20200
1	2500	12000	200	12000	200	15200	17200	15200	17200
2	2500	9600	200	9600	200	12000	14000	12000	14000
3	2500	8400	200	8400	200	9600	11600	9600	11600
4	2500	7000	200	7000	200	8400	10400	8400	10400
5	2500	5000	200	5000	200	7000	9000	7000	9000
6	2500	200	200	200	200	5000	7000	5000	7000
