L	0	11400	6200	11400	6200	15100	15100	15100	15100
Q	0	9000	5400	9000	5400	11400	12400	11400	12400
1	0	7400	5000	7400	5000	9000	10900	9000	10900
2	0	6400	4400	6400	4400	7400	9300	7400	9300
3	0	4600	4000	4600	4000	6400	7400	6400	7400
4	0	3200	3200	3200	3200	4600	5400	4600	5400
L	500	11400	6200	11400	6200	15100	15100	15100	15100
Q	500	9000	5400	9000	5400	11400	12400	11400	12400
1	500	7400	5000	7400	5000	9000	10900	9000	10900
2	500	6400	4400	6400	4400	7400	9300	7400	9300
3	500	4600	4000	4600	4000	6400	7400	6400	7400
4	500	3200	3200	3200	3200	4600	5400	4600	5400
L	1000	11400	6200	11400	6200	15100	15100	15100	15100
Q	1000	9000	5400	9000	5400	11400	12400	11400	12400
1	1000	7400	5000	7400	5000	9000	10900	9000	10900
2	1000	6400	4400	6400	4400	7400	9300	7400	9300
3	1000	4600	4000	4600	4000	6400	7400	6400	7400
4	1000	3200	3200	3200	3200	4600	5400	4600	5400
L	1500	11400	6200	11400	6200	15100	15100	15100	15100
Q	1500	9000	5400	9000	5400	11400	12400	11400	12400
1	1500	7400	5000	7400	5000	9000	10900	9000	10900
2	1500	6400	4400	6400	4400	7400	9300	7400	9300
3	1500	4600	4000	4600	4000	6400	7400	6400	7400
4	1000	3200	3200	3200	3200	4600	5400	4600	5400
L	2000	11400	6200	11400	6200	15100	15100	15100	15100
Q	2000	9000	5400	9000	5400	11400	12400	11400	12400
1	2000	7400	5000	7400	5000	9000	10900	9000	10900
2	2000	6400	4400	6400	4400	7400	9300	7400	9300
3	2000	4600	4000	4600	4000	6400	7400	6400	7400
4	1000	3200	3200	3200	3200	4600	5400	4600	5400
L	2500	11400	6200	11400	6200	15100	15100	15100	15100
Q	2500	9000	5400	9000	5400	11400	12400	11400	12400
1	2500	7400	5000	7400	5000	9000	10900	9000	10900
2	2500	6400	4400	6400	4400	7400	9300	7400	9300
3	2500	4600	4000	4600	4000	6400	7400	6400	7400
4	2500	3200	3200	3200	3200	4600	5400	4600	5400
